22:29:28 INFO database.client - Supabase client initialised (service key)
22:29:34 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/options_snapshots?select=%2A&symbol=eq.HCLTECH&snapshot_date=eq.2026-05-27&order=expiry_date.asc%2Cstrike.asc "HTTP/2 200 OK"
22:29:34 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/continuous_oi_series?select=%2A&symbol=eq.HCLTECH&order=date.desc&limit=2 "HTTP/2 200 OK"
22:29:34 INFO httpx - HTTP Request: POST https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/continuous_oi_series?on_conflict=symbol%2Cdate "HTTP/2 200 OK"
22:29:34 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/price_history?select=date%2Copen%2Chigh%2Clow%2Cclose%2Cvolume&symbol=eq.HDFCBANK&order=date.desc&limit=5 "HTTP/2 200 OK"
22:29:34 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/futures_continuous_series?select=%2A&symbol=eq.HDFCBANK&date=eq.2026-05-27 "HTTP/2 200 OK"
22:29:34 INFO httpx - HTTP Request: PATCH https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/futures_continuous_series?symbol=eq.HDFCBANK&date=eq.2026-05-27 "HTTP/2 200 OK"
22:29:34 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/options_snapshots?select=%2A&symbol=eq.HDFCBANK&snapshot_date=eq.2026-05-27&order=expiry_date.asc%2Cstrike.asc "HTTP/2 200 OK"
22:29:35 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/continuous_oi_series?select=%2A&symbol=eq.HDFCBANK&order=date.desc&limit=2 "HTTP/2 200 OK"
22:29:35 INFO httpx - HTTP Request: POST https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/continuous_oi_series?on_conflict=symbol%2Cdate "HTTP/2 200 OK"
22:29:35 INFO httpx - HTTP Request: GET https://ytlsqyzwoivtmvznojzb.supabase.co/rest/v1/price_history?select=date%2Copen%2Chigh%2Clow%2Cclose%2Cvolume&symbol=eq.HDFCLIFE&order=date.desc&limit=5 "HTTP/2 200 OK"
